[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.107: reset 1
[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.106: unknow clear 1
[Device] <星期二 三月 17 11:43:51 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.105: unknow clear 1
[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:51 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:52 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:53 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[Device] <星期二 三月 17 11:43:54 2015> Connect to 192.168.100.105:10001 error!
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.105: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:54 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:55 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:55 2015> 192.168.100.106: unknow clear 1
[SISThread] <星期二 三月 17 11:43:55 2015> 192.168.100.106: unknow clear 1
